word,rarity,pos,Definition,Sentence
watt,3,noun,"In the International System of Units, the derived unit of power; the power of a system in which one joule of energy is transferred per second. Symbol: W",
wave,2,verb,To move back and forth repeatedly and somewhat loosely.,
wavy,3,adj,Rising or swelling in waves.,
waxy,3,adj,Resembling wax in texture or appearance.,
ways,1,noun,plural of way,
weak,2,adj,Lacking in force (usually strength) or ability.,The child was too weak to move the boulder.
weal,4,noun,"Welfare, prosperity.","It seemed so plain that if the workman had his master’s profit at heart, and the master were as anxious for the weal of his men, the interests of the two would be one."
wean,3,verb,To cease giving breast milk to an offspring; to accustom and reconcile (a child or young animal) to a want or deprivation of mother's milk; to take from the breast or udder.,
wear,2,verb,"To have on: To carry or have equipped on or about one's body, as an item of clothing, equipment, decoration, etc.",Please wear your seatbelt.
webs,2,noun,Plural of web.,
weds,3,verb,Third-person singular present tense of wed.,
weed,2,noun,Any plant unwanted at the place where and at the time when it is growing.,"If it isn't in a straight line or marked with a label, it's a weed."
week,1,noun,Any period of seven consecutive days.,
ween,4,noun,"wiener dog, dachshund",
weep,3,verb,"To cry; to shed tears, especially when accompanied with sobbing or other difficulty speaking, as an expression of emotion such as sadness or joy.",
weer,4,adj,"comparative form of wee: more wee. Meaning: Small, little.","“Dear, but you're like your grandmother!” she continued, patting the little girl's head. “Many a penny's worth I sold to your da, when he was weer than you are.”"
wees,4,noun,plural of wee,
weft,3,noun,The horizontal threads that are interlaced through the warp in a woven fabric.,
weir,3,noun,An adjustable dam placed across a river to regulate the flow of water downstream.,"The weir must not represent a physical barrier to fish migration, both locally and throughout the whole river system. If necessary, a fishway is included in the weir."
weld,3,noun,"A herb (Reseda luteola) related to mignonette, growing in Europe, and to some extent in America, used to make a yellow dye.",
well,1,adv,"Accurately, competently, satisfactorily.",He does his job well.
welt,3,noun,"A ridge or lump on the skin, as caused by a blow or insect bite.",
wend,4,verb,To direct (one's way or course); pursue one's way; proceed upon some course or way.,
wens,3,noun,Plural of wen.,
went,1,verb,simple past of go. Meaning: To move or travel from one place to another.,
wept,3,verb,simple past and past participle of weep,
were,1,verb,"second-person singular simple past indicative of be. Meaning: To exist, or to have a particular state or identity.","John, you were the only person to see him."
west,1,noun,"The direction opposite to that of the earth's rotation, specifically 270°.",We used to live in the west of the country.
wham,3,noun,A forceful blow.,Roger was given a violent wham by his boxing opponent.
what,1,pron,"Which thing, event, circumstance, etc.: used in asking for the specification of an identity, quantity, quality, etc.",Hammer in that nail —What with? I didn't bring my set of tools.
whee,4,verb,To make a high-pitched sound.,
when,1,adv,At what time? At which time? Upon which occasion or circumstance? Used to introduce direct or indirect questions about time.,When will they arrive?
whet,4,verb,"To hone or rub on with some substance, as a piece of stone, for the purpose of sharpening – see whetstone.",
whew,3,verb,"To whistle with a shrill pipe, like a plover.",
whey,3,noun,The liquid remaining after milk has been curdled and strained in the process of making cheese.,"Little Miss Muffet, She sat on a tuffet, Eating of curds and whey; There came a little spider, Who sat down beside her, And frighted Miss Muffet away."
whim,3,noun,"A fanciful impulse, or sudden change of idea.","Let ev’ry Man enjoy his whim; / What’s He to Me, or I to him?"
whip,2,noun,"A lash; a pliant, flexible instrument, such as a rod (commonly of cane or rattan) or a plaited or braided rope or thong (commonly of leather) used to create a sharp ""crack"" sound for directing or herding animals.",I had to use the whip to get the sheep's attention.
whit,3,noun,The smallest part or particle imaginable; an iota.,"Now I was eight and very small, / And he was no whit bigger / And so I smiled, but he poked out / His tongue, and called me, 'Nigger.'"
whiz,3,verb,"To make a whirring or hissing sound, similar to that of an object speeding through the air.",
whoa,3,verb,"To attempt to slow (an animal) by crying ""whoa"".",
whom,2,pron,What person or people; which person or people. As the object of a verb.,Whom did you ask?
whop,4,verb,"To throw or move (something) quickly, usually with an impact.",
whys,1,noun,Plural of why.,
wick,3,noun,"A braid or bundle of fibre or other porous material (now generally twisted or woven cotton) in a candle, kerosene heater, oil lamp, etc., that draws up a liquid fuel (such as melted tallow or wax, or oil) at one end, to be ignited at the other end to produce a flame.","Trim the wick fairly short, so that the flame does not smoke."
wide,2,adj,Having a large physical extent from side to side.,We walked down a wide corridor.
wife,1,noun,"A married woman, especially in relation to her spouse.",
wigs,3,noun,Plural of wig.,
wiki,4,noun,"A collaborative website which can be directly edited merely by using a web browser, often by anyone who has access to it.",He spent time editing articles on the wiki.
wild,2,adj,"Untamed; not domesticated. Especially, being of the wild type: being of an unbroken ancestral line of undomesticated animals, as opposed to being feral, being an undomesticated animal whose ancestors were domesticated.","Winter's not gone yet, if the wild geese fly that way."
wile,4,noun,"A trick or stratagem practiced for ensnaring or deception; a sly, insidious artifice",
will,1,verb,"Used to express the future tense, sometimes with an implication of volition or determination when used in the first person. Compare shall.","Do not forget, will you?"
wilt,3,verb,To droop or become limp and flaccid (as a dying leaf or flower).,
wily,3,adj,"Sly, cunning, full of tricks.","Horatio's new girlfriend is a wily coquette, and poor Horatio is too smitten to see it."
wimp,3,noun,"Someone who lacks confidence or courage, is weak, ineffectual, irresolute and wishy-washy.",
wind,2,noun,Real or perceived movement of atmospheric air usually caused by convection or differences in air pressure.,The wind blew through her hair as she stood on the deck of the ship.
wine,2,noun,"An alcoholic beverage made by fermenting grape juice, with an ABV ranging from 5.5–16%.",Wine is usually stronger than beer.
wing,2,noun,"An appendage of an animal's (bird, bat, insect) body that enables it to fly.",
wink,3,verb,To close one's eyes.,
wino,4,noun,"A chronic or heavy drinker of cheap wine or other alcohol; especially, a drunkard.",
wins,1,verb,Third-person singular present tense of win.,
winy,4,adj,Having the taste or qualities of wine.,"The sleeve-buttons were topazes, winy-yellow, lightly set in crinkly gold."
wipe,2,verb,"To move an object over, maintaining contact, with the intention of removing some substance from the surface. (Compare rub.)",Tom started to wipe his eyes.
wire,2,noun,"Metal formed into a thin, even thread, now usually by being drawn through a hole in a steel die.",
wiry,4,adj,Resembling wire.,My hair was very wiry in my teens.
wise,2,adj,Showing good judgement or the benefit of experience.,Storing extra food for the winter was a wise decision.
wish,1,noun,"A desire, hope, or longing for something or for something to happen.",It is my wish that the bequest (should) be given to an almshouse.
wisp,4,noun,"A small bundle, as of straw or other like substance; any slender, flexible structure or group.",A wisp of smoke rose from the candle for a few moments after he blew it out.
with,1,prep,Against.,He picked a fight with the class bully.
wits,3,noun,plural of wit,
wive,3,verb,To marry (a woman).,
woad,3,noun,The plant Isatis tinctoria.,
woes,3,noun,Plural of woe.,
wogs,4,noun,Plural of wog.,
woke,2,adj,Awake: conscious and not asleep.,
woks,3,noun,Plural of wok.,
wold,4,noun,"An unforested or deforested plain, a grassland, a moor.","Blossomed the opening spring, and the notes of the robin and bluebird Sounded sweet upon wold and in wood, yet Gabriel came not."
wolf,2,noun,Canis lupus; the largest wild member of the canine subfamily.,
womb,3,noun,"In female mammals, the organ in which the young are conceived and grow until birth; the uterus.",I danced myself right out the womb / Is it strange to dance so soon?
wonk,3,verb,To cram for exams.,
wont,2,adj,"Accustomed or used (to or with a thing), accustomed or apt (to do something).",He is wont to complain loudly about his job.
wood,2,noun,"The substance making up the central part of the trunk and branches of a tree. Used as a material for construction, to manufacture various items, etc. or as fuel.",This table is made of wood.
woof,3,noun,The set of yarns carried by the shuttle of a loom which are placed crosswise at right angles to and interlaced with the warp; the weft.,
